Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDF32,16.35,Low Fat,0.06802430000000001,Foods,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.4260000000002
FDP49,9.0,Regular,0.06908896099999999,Foods,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192
NCB42,11.8,Non-Edible,0.008596051,Non-Consumable,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888
FDP49,9.0,Regular,0.06919637599999999,Foods,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982
DRI11,12.857645184136183,Low Fat,0.034237682,Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.6679999999997
FDU02,13.35,Low Fat,0.10249212,Foods,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224
FDN22,18.85,Regular,0.138190277,Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086
FDW12,12.857645184136183,Regular,0.035399923,Foods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432
NCB30,14.6,Non-Edible,0.025698133999999997,Non-Consumable,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672
FDC37,12.857645184136183,Low Fat,0.057556998,Foods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876
FDR28,13.85,Regular,0.025896485,Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025
NCD06,13.0,Non-Edible,0.099887103,Non-Consumable,45.906000000000006,OUT017,2007,Unknown,Tier 2,Supermarket Type1,838.908
FDV10,7.645,Regular,0.06669343700000001,Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28
DRJ59,11.65,Low Fat,0.019356131999999998,Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312
FDE51,5.925,Regular,0.161466534,Foods,45.5086,OUT010,1998,Unknown,Tier 3,Grocery Store,178.4344
FDC14,12.857645184136183,Regular,0.072221801,Foods,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362
FDV38,19.25,Low Fat,0.17034855100000001,Foods,55.7956,OUT010,1998,Unknown,Tier 3,Grocery Store,163.7868
NCS17,18.6,Non-Edible,0.080829372,Non-Consumable,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644
FDP33,18.7,Low Fat,0.06613202877895127,Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064
FDO23,17.85,Low Fat,0.06613202877895127,Foods,93.1436,OUT045,2002,Unknown,Tier 2,Supermarket Type1,2174.5028
DRH01,17.5,Low Fat,0.097904029,Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856
NCX29,10.0,Non-Edible,0.08929113699999999,Non-Consumable,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652
FDV20,12.857645184136183,Regular,0.059511812000000004,Foods,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916
DRZ11,8.85,Regular,0.113123893,Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044
FDX10,12.857645184136183,Regular,0.12311145300000001,Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614
FDB34,12.857645184136183,Low Fat,0.026480953999999998,Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495
FDU02,13.35,Low Fat,0.102511504,Foods,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528
FDK43,9.8,Low Fat,0.02681843,Foods,126.00200000000001,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534
FDA46,13.6,Low Fat,0.117818348,Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768
FDC02,21.35,Low Fat,0.06910283099999999,Foods,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228
FDL50,12.15,Regular,0.042277867000000004,Foods,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138
FDM39,6.42,Low Fat,0.08949892599999999,Foods,178.1002,OUT010,1998,Unknown,Tier 3,Grocery Store,358.2004
NCP05,19.6,Non-Edible,0.06613202877895127,Non-Consumable,153.3024,OUT045,2002,Unknown,Tier 2,Supermarket Type1,2428.8384
FDV49,10.0,Low Fat,0.025879577,Foods,265.2226,OUT045,2002,Unknown,Tier 2,Supermarket Type1,5815.0972
FDL12,15.85,Regular,0.121632721,Foods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646
FDS02,12.857645184136183,Regular,0.25539489600000004,Foods,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176
NCL17,7.39,Non-Edible,0.067779712,Non-Consumable,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864
FDM40,10.195,Low Fat,0.159803853,Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924
FDR13,9.895,Regular,0.028696932,Foods,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444
FDA43,10.895,Low Fat,0.065041581,Foods,196.3794,OUT017,2007,Unknown,Tier 2,Supermarket Type1,3121.2704
NCP18,12.15,Non-Edible,0.028760012999999997,Non-Consumable,151.4708,OUT017,2007,Unknown,Tier 2,Supermarket Type1,4815.0656
FDK21,7.905,Low Fat,0.010053105,Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52
NCX54,9.195,Non-Edible,0.048157338,Non-Consumable,106.1622,OUT045,2002,Unknown,Tier 2,Supermarket Type1,2117.244
DRK35,8.365,Low Fat,0.071958197,Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626
FDY21,15.1,Low Fat,0.17348130399999998,Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275
FDI26,12.857645184136183,Low Fat,0.061082177,Foods,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,892.172
FDM20,10.0,Low Fat,0.06613202877895127,Foods,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872
FDV27,7.97,Regular,0.040071131,Foods,87.3514,OUT045,2002,Unknown,Tier 2,Supermarket Type1,1062.6168
FDF09,12.857645184136183,Low Fat,0.012090074,Foods,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024
FDY40,12.857645184136183,Regular,0.15028599,Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076
FDY45,12.857645184136183,Low Fat,0.026015518999999997,Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356
FDC46,17.7,Low Fat,0.195068226,Foods,185.4266,OUT010,1998,Unknown,Tier 3,Grocery Store,184.4266
FDH19,19.35,Low Fat,0.033082215,Foods,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664
FDZ03,13.65,Regular,0.078946455,Foods,186.024,OUT045,2002,Unknown,Tier 2,Supermarket Type1,1118.5439999999999
DRH37,17.6,Low Fat,0.041700756,Drinks,164.8526,OUT045,2002,Unknown,Tier 2,Supermarket Type1,2302.3364
NCI17,8.645,Non-Edible,0.14342264300000002,Non-Consumable,95.84100000000001,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361
FDJ58,15.6,Regular,0.10529607199999999,Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528
FDL12,15.85,Regular,0.121531501,Foods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22
FDH35,18.25,Low Fat,0.06613202877895127,Foods,164.7526,OUT045,2002,Unknown,Tier 2,Supermarket Type1,4604.6728
FDG02,7.855,Low Fat,0.011324862,Foods,189.6188,OUT017,2007,Unknown,Tier 2,Supermarket Type1,2285.0256
NCZ18,7.825,Non-Edible,0.186357148,Non-Consumable,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356
FDC29,8.39,Regular,0.024205661,Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.3520000000003
FDQ10,12.85,Low Fat,0.033230816,Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954
FDN48,12.857645184136183,Low Fat,0.113720344,Foods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628
FDL04,19.0,Low Fat,0.11255650699999999,Foods,104.9622,OUT017,2007,Unknown,Tier 2,Supermarket Type1,1587.933
FDV25,5.905,Low Fat,0.06613202877895127,Foods,222.5456,OUT045,2002,Unknown,Tier 2,Supermarket Type1,5305.0944
FDD58,7.76,Low Fat,0.05935224099999999,Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79
FDN04,11.8,Regular,0.014087057,Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752
FDV45,16.75,Low Fat,0.045230944,Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89
NCL18,12.857645184136183,Non-Edible,0.293417759,Non-Consumable,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,583.2408
FDR12,12.857645184136183,Regular,0.031382044,Foods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752
FDG20,15.5,Regular,0.12639886,Foods,177.0028,OUT017,2007,Unknown,Tier 2,Supermarket Type1,2479.4392
FDZ55,6.055,Low Fat,0.025403897999999998,Foods,160.99200000000002,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.4640000000004
FDQ49,12.857645184136183,Regular,0.039057677,Foods,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723
FDN33,6.305,Regular,0.123115764,Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052
FDN27,20.85,Low Fat,0.039624006,Foods,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504
FDW20,20.75,Low Fat,0.040421193,Foods,122.17299999999999,OUT010,1998,Unknown,Tier 3,Grocery Store,369.519
DRG27,8.895,Low Fat,0.10527411099999999,Drinks,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346
DRI25,19.6,Low Fat,0.033970195,Drinks,55.1614,OUT045,2002,Unknown,Tier 2,Supermarket Type1,1381.535
FDA44,19.7,Low Fat,0.053212652,Foods,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523
NCR17,9.8,Non-Edible,0.024378706,Non-Consumable,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412
FDU04,12.857645184136183,Low Fat,0.009714595,Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656
FDF41,12.15,Low Fat,0.131383762,Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73
FDB56,8.75,Regular,0.07461309,Foods,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112
NCP18,12.857645184136183,Non-Edible,0.028459761,Non-Consumable,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.6532
FDB56,8.75,Regular,0.07462720099999999,Foods,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892
FDT28,13.3,Low Fat,0.063695084,Foods,151.0708,OUT045,2002,Unknown,Tier 2,Supermarket Type1,1805.6496
FDD10,12.857645184136183,Regular,0.045797829000000005,Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.9504
FDW57,8.31,Regular,0.11585722300000001,Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616
DRB48,16.75,Regular,0.024832806000000002,Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974
FDP09,19.75,Low Fat,0.034027909,Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853
FDH14,17.1,Regular,0.046769599999999995,Foods,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408
FDA47,10.5,Regular,0.11657670199999999,Foods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1794.3310000000001
FDG12,6.635,Regular,0.06613202877895127,Foods,121.3098,OUT045,2002,Unknown,Tier 2,Supermarket Type1,2530.7058
DRE60,12.857645184136183,Low Fat,0.278974075,Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,679.1160000000001
DRK49,14.15,Low Fat,0.035913805,Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,812.2760000000001
FDD03,13.3,Low Fat,0.079806266,Foods,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09
FDS52,8.89,Low Fat,0.005505481,Foods,102.4016,OUT017,2007,Unknown,Tier 2,Supermarket Type1,2732.4432
FDW39,12.857645184136183,Regular,0.064625342,Foods,176.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437
FDX34,12.857645184136183,Low Fat,0.071636937,Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.3332
FDV11,9.1,Regular,0.06613202877895127,Foods,173.2054,OUT045,2002,Unknown,Tier 2,Supermarket Type1,3151.8972
FDD17,7.5,Low Fat,0.032677677999999995,Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265
FDZ16,16.85,Regular,0.160760054,Foods,192.4478,OUT017,2007,Unknown,Tier 2,Supermarket Type1,4843.695
FDZ46,7.485,Low Fat,0.06911065,Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244
DRA12,11.6,Low Fat,0.041177505,Drinks,140.3154,OUT017,2007,Unknown,Tier 2,Supermarket Type1,2552.6772
FDY58,11.65,Low Fat,0.040081193,Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847
NCF19,13.0,Non-Edible,0.035307322,Non-Consumable,47.5034,OUT017,2007,Unknown,Tier 2,Supermarket Type1,680.4476
DRJ13,12.65,Low Fat,0.063017847,Drinks,159.0578,OUT045,2002,Unknown,Tier 2,Supermarket Type1,2085.9514
FDB14,20.25,Regular,0.171938781,Foods,92.512,OUT010,1998,Unknown,Tier 3,Grocery Store,186.424
FDJ38,8.6,Regular,0.040197932,Foods,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048
FDW11,12.6,Low Fat,0.049058014000000004,Foods,62.7194,OUT017,2007,Unknown,Tier 2,Supermarket Type1,866.8716
FDL40,17.7,Low Fat,0.01161096,Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.8689999999999
DRI49,14.15,Low Fat,0.183507295,Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864
FDV38,19.25,Low Fat,0.102349519,Foods,52.7956,OUT017,2007,Unknown,Tier 2,Supermarket Type1,928.1252
DRG23,8.88,Low Fat,0.08670898699999999,Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,762.341
NCP30,20.5,Non-Edible,0.032835147,Non-Consumable,40.2822,OUT045,2002,Unknown,Tier 2,Supermarket Type1,707.0796
FDY25,12.857645184136183,Low Fat,0.033809913,Foods,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.2944
NCH54,13.5,Non-Edible,0.07266912,Non-Consumable,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128
NCR53,12.857645184136183,Non-Edible,0.144338493,Non-Consumable,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.2524
FDS52,8.89,Low Fat,0.009163216,Foods,101.7016,OUT010,1998,Unknown,Tier 3,Grocery Store,101.2016
FDG02,7.855,Low Fat,0.011307038,Foods,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.0939999999999
NCO26,7.235,Non-Edible,0.076855628,Non-Consumable,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364
FDH35,12.857645184136183,Low Fat,0.059956876,Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.4832
FDB51,6.92,Low Fat,0.038532062,Foods,60.5852,OUT045,2002,Unknown,Tier 2,Supermarket Type1,1314.2892
FDX44,9.3,Low Fat,0.043209581,Foods,90.8172,OUT017,2007,Unknown,Tier 2,Supermarket Type1,535.3032
NCN07,18.5,Non-Edible,0.056816465,Non-Consumable,132.1284,OUT010,1998,Unknown,Tier 3,Grocery Store,263.6568
NCC31,8.02,Non-Edible,0.019866705,Non-Consumable,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748
NCX54,9.195,Non-Edible,0.048331717,Non-Consumable,105.1622,OUT017,2007,Unknown,Tier 2,Supermarket Type1,1693.7952
NCO55,12.8,Non-Edible,0.091221855,Non-Consumable,105.5938,OUT045,2002,Unknown,Tier 2,Supermarket Type1,2143.876
NCC30,16.6,Non-Edible,0.027622076000000002,Non-Consumable,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.5159999999996
FDI16,14.0,Regular,0.06613202877895127,Foods,53.06399999999999,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488
FDP16,18.6,Low Fat,0.039355947,Foods,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406
FDB11,16.0,Low Fat,0.060836524,Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312
NCB06,17.6,Non-Edible,0.082316506,Non-Consumable,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92
FDA45,21.25,Low Fat,0.155350299,Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311
NCO26,7.235,Non-Edible,0.076841095,Non-Consumable,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364
DRJ25,14.6,Low Fat,0.151419185,Drinks,50.3692,OUT017,2007,Unknown,Tier 2,Supermarket Type1,1034.6532
FDR28,13.85,Regular,0.026001976,Foods,161.52100000000002,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.3310000000001
FDI04,13.65,Regular,0.073209447,Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964
DRK12,12.857645184136183,Low Fat,0.041683481,Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,898.83
FDX20,7.365,Low Fat,0.042560252,Foods,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208
NCI18,18.35,Non-Edible,0.014081156000000001,Non-Consumable,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.9936
FDB36,5.465,Regular,0.06613202877895127,Foods,132.5626,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.3252
FDN13,18.6,Low Fat,0.152918384,Foods,99.8358,OUT017,2007,Unknown,Tier 2,Supermarket Type1,1910.1802
DRD24,13.85,Low Fat,0.030969273999999998,Drinks,140.9154,OUT017,2007,Unknown,Tier 2,Supermarket Type1,1701.7848
FDQ28,14.0,Regular,0.06037677599999999,Foods,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496
FDM22,14.0,Regular,0.04192285,Foods,54.763999999999996,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6
FDR07,12.857645184136183,Low Fat,0.077367431,Foods,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808.9786
FDV25,5.905,Low Fat,0.045838211,Foods,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.684
DRF49,7.27,Low Fat,0.071077939,Drinks,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.5914
FDW51,6.155,Regular,0.09465987099999999,Foods,214.55599999999998,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.728
DRL01,19.5,Regular,0.077608838,Drinks,233.4958,OUT017,2007,Unknown,Tier 2,Supermarket Type1,5375.0034
FDP25,15.2,Low Fat,0.021327477,Foods,216.8824,OUT017,2007,Unknown,Tier 2,Supermarket Type1,2838.9712
FDL50,12.15,Regular,0.042485444000000004,Foods,125.0046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.0644
NCB30,12.857645184136183,Non-Edible,0.025578526,Non-Consumable,198.8084,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555.4352
FDW11,12.6,Low Fat,0.048980800000000005,Foods,61.9194,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194
NCM43,14.5,Non-Edible,0.019471688,Non-Consumable,164.821,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.573
FDK44,16.6,Low Fat,0.122918852,Foods,173.0738,OUT017,2007,Unknown,Tier 2,Supermarket Type1,3823.0236
FDM15,11.8,Regular,0.057373797000000004,Foods,151.4366,OUT013,1987,High,Tier 3,Supermarket Type1,1360.2294
FDS31,13.1,Regular,0.044155597000000005,Foods,178.8318,OUT013,1987,High,Tier 3,Supermarket Type1,3969.4996
FDI32,17.7,Low Fat,0.291865402,Foods,115.1834,OUT010,1998,Unknown,Tier 3,Grocery Store,345.5502
FDR47,17.85,Low Fat,0.06613202877895127,Foods,196.5794,OUT010,1998,Unknown,Tier 3,Grocery Store,585.2382
FDB35,12.3,Regular,0.064750025,Foods,92.6804,OUT045,2002,Unknown,Tier 2,Supermarket Type1,1010.6844
NCU05,11.8,Non-Edible,0.098312421,Non-Consumable,81.4618,OUT010,1998,Unknown,Tier 3,Grocery Store,161.1236
DRY23,12.857645184136183,Regular,0.191013663,Drinks,42.1112,OUT019,1985,Small,Tier 1,Grocery Store,42.6112
FDO24,11.1,Low Fat,0.176573035,Foods,157.4604,OUT045,2002,Unknown,Tier 2,Supermarket Type1,3010.7476
FDQ28,12.857645184136183,Regular,0.060134441,Foods,153.0656,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024.1584
FDV39,11.3,Low Fat,0.0072946519999999996,Foods,198.1426,OUT045,2002,Unknown,Tier 2,Supermarket Type1,988.7130000000001
NCO17,12.857645184136183,Non-Edible,0.128478462,Non-Consumable,117.944,OUT019,1985,Small,Tier 1,Grocery Store,239.688
FDU50,5.75,Regular,0.075107656,Foods,112.8176,OUT013,1987,High,Tier 3,Supermarket Type1,1374.2112
FDT12,12.857645184136183,Regular,0.049381405999999996,Foods,226.8062,OUT027,1985,Medium,Tier 3,Supermarket Type3,4739.8302
FDK58,11.35,Regular,0.045165795999999994,Foods,100.0016,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.0160000000001
FDO08,12.857645184136183,Regular,0.09415375,Foods,165.7526,OUT019,1985,Small,Tier 1,Grocery Store,657.8104
NCW29,14.0,Non-Edible,0.028907832,Non-Consumable,130.431,OUT049,1999,Medium,Tier 1,Supermarket Type1,778.9860000000001
FDE04,19.75,Regular,0.018059621,Foods,179.766,OUT045,2002,Unknown,Tier 2,Supermarket Type1,2336.958
NCB19,6.525,Non-Edible,0.09043609400000001,Non-Consumable,85.0882,OUT049,1999,Medium,Tier 1,Supermarket Type1,2233.0932
FDV15,10.3,Low Fat,0.146399712,Foods,103.9648,OUT049,1999,Medium,Tier 1,Supermarket Type1,1661.8368
FDL58,5.78,Regular,0.07426435599999999,Foods,264.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,4745.8224
FDA08,11.85,Regular,0.050186725999999994,Foods,164.1526,OUT045,2002,Unknown,Tier 2,Supermarket Type1,3124.5994
FDT43,16.35,Low Fat,0.020631654,Foods,50.1324,OUT018,2009,Medium,Tier 3,Supermarket Type2,467.3916
NCX06,12.857645184136183,Non-Edible,0.01561108,Non-Consumable,182.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,5070.7328
FDT20,10.5,Low Fat,0.041395445,Foods,37.6164,OUT046,1997,Small,Tier 1,Supermarket Type1,540.6296
FDB41,19.0,Regular,0.097313129,Foods,48.0718,OUT046,1997,Small,Tier 1,Supermarket Type1,992.7078
NCN55,14.6,Non-Edible,0.059582996,Non-Consumable,238.8538,OUT049,1999,Medium,Tier 1,Supermarket Type1,6008.845
FDE40,12.857645184136183,Regular,0.09866365199999999,Foods,62.9194,OUT027,1985,Medium,Tier 3,Supermarket Type3,2105.2596
FDX49,12.857645184136183,Regular,0.101338651,Foods,232.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,5359.69
NCM53,18.75,Non-Edible,0.052146455999999994,Non-Consumable,104.62799999999999,OUT045,2002,Unknown,Tier 2,Supermarket Type1,745.696
FDE36,5.26,Regular,0.041764487,Foods,161.8868,OUT035,2004,Small,Tier 2,Supermarket Type1,3275.736
FDN57,18.25,Low Fat,0.054344185999999996,Foods,140.2154,OUT045,2002,Unknown,Tier 2,Supermarket Type1,1701.7848
FDI24,12.857645184136183,Low Fat,0.07836248400000001,Foods,177.937,OUT027,1985,Medium,Tier 3,Supermarket Type3,6704.606
FDI19,15.1,Low Fat,0.052339069,Foods,242.7512,OUT046,1997,Small,Tier 1,Supermarket Type1,4119.9704
FDF24,15.5,Regular,0.042464962,Foods,81.5934,OUT010,1998,Unknown,Tier 3,Grocery Store,327.5736
FDG52,13.65,Low Fat,0.06573288299999999,Foods,45.7402,OUT049,1999,Medium,Tier 1,Supermarket Type1,780.9834
DRF36,16.1,Low Fat,0.023625114,Drinks,189.3846,OUT045,2002,Unknown,Tier 2,Supermarket Type1,3630.6074
FDS45,12.857645184136183,Regular,0.051643608,Foods,107.3622,OUT019,1985,Small,Tier 1,Grocery Store,317.5866
FDX40,12.85,Low Fat,0.165694219,Foods,39.7164,OUT010,1998,Unknown,Tier 3,Grocery Store,231.6984
DRK12,9.5,Low Fat,0.041878397000000005,Drinks,32.99,OUT035,2004,Small,Tier 2,Supermarket Type1,133.16
DRC27,13.8,Low Fat,0.058091482,Drinks,245.1802,OUT035,2004,Small,Tier 2,Supermarket Type1,5650.6446
FDL58,5.78,Regular,0.06613202877895127,Foods,263.7568,OUT017,2007,Unknown,Tier 2,Supermarket Type1,2636.5679999999998
NCD30,19.7,Non-Edible,0.026903714,Non-Consumable,96.0726,OUT045,2002,Unknown,Tier 2,Supermarket Type1,1272.3438
